ano,mun,uf,codmun,matriculas_6ano_9ano,matriculas_EM
2007,araguapaz,GO,5202155,685,318
2007,araguari,MG,3103504,7471,5306
2007,araguatins,TO,1702208,2713,1752
2007,araioses,MA,2100907,3462,2042
2007,aral moreira,MS,5001243,801,300
2007,aramari,BA,2902203,717,439
2007,arambaré,RS,4300851,291,188
2007,arame,MA,2100956,2000,819
2007,aramina,SP,3503000,333,207
2007,arandu,SP,3503109,486,226
2007,arantina,MG,3103603,204,136
2007,arapeí,SP,3503158,248,114
2007,arapiraca,AL,2700300,21155,10037
2007,arapoema,TO,1702307,667,406
2007,araponga,MG,3103702,588,210
2007,arapongas,PR,4101507,7253,4305
2007,araporã,MG,3103751,399,272
2007,arapoti,PR,4101606,2346,1352
2007,arapuá,MG,3103801,221,98
2007,arapuã,PR,4101655,370,209
2007,araputanga,MT,5101258,1231,1054
2007,araquari,SC,4201307,1636,877
2007,arara,PB,2500908,1050,470
2007,araranguá,SC,4201406,4454,2780
2007,araraquara,SP,3503208,12587,8173
2007,araras,SP,3503307,7803,5139
2007,ararendá,CE,2301257,1129,582
2007,arari,MA,2101004,2609,1406
2007,araricá,RS,4300877,469,221
2007,araripe,CE,2301307,1876,705
2007,araripina,PE,2601102,4637,3675
2007,araruama,RJ,3300209,7467,4493
2007,araruna,PB,2501005,1288,723
2007,araruna,PR,4101705,1085,619
2007,arataca,BA,2902252,987,337
2007,aratiba,RS,4300901,458,316
2007,aratuba,CE,2301406,1324,613
2007,aratuípe,BA,2902302,733,511
2007,arauá,SE,2800407,1235,674
2007,araucária,PR,4101804,9485,4940
2007,araújos,MG,3103900,486,202
2007,araxá,MG,3104007,6478,4802
2007,arceburgo,MG,3104106,582,294
2007,arco-íris,SP,3503356,168,116
2007,arcos,MG,3104205,2406,1772
2007,arcoverde,PE,2601201,5781,3921
2007,areado,MG,3104304,924,586
2007,areal,RJ,3300225,779,276
2007,arealva,SP,3503406,490,277
2007,areia,PB,2501104,2159,698
2007,areia branca,RN,2401107,2080,1131
2007,areia branca,SE,2800506,1261,531
2007,areia de baraúnas,PB,2501153,201,0
2007,areial,PB,2501203,708,319
2007,areias,SP,3503505,296,176
2007,areiópolis,SP,3503604,975,507
2007,arenápolis,MT,5101308,839,548
2007,arenópolis,GO,5202353,248,131
2007,arês,RN,2401206,1231,647
2007,argirita,MG,3104403,195,111
2007,aricanduva,MG,3104452,533,277
2007,arinos,MG,3104502,1746,988
2007,aripuanã,MT,5101407,1687,779
2007,ariquemes,RO,1100023,7561,3694
2007,ariranha,SP,3503703,509,264
2007,ariranha do ivaí,PR,4101853,201,142
2007,armação dos búzios,RJ,3300233,2195,1151
2007,armazém,SC,4201505,545,265
2007,arneiroz,CE,2301505,719,281
2007,aroazes,PI,2200905,620,270
2007,aroeiras,PB,2501302,1676,709
2007,aroeiras do itaim,PI,2200954,203,145
2007,arraial,PI,2201002,431,232
2007,arraial do cabo,RJ,3300258,1960,980
2007,arraias,TO,1702406,1044,467
2007,arroio do meio,RS,4301008,1189,781
2007,arroio do padre,RS,4301073,191,113
2007,arroio do sal,RS,4301057,518,297
2007,arroio do tigre,RS,4301206,1000,601
2007,arroio dos ratos,RS,4301107,1049,637
2007,arroio grande,RS,4301305,1589,607
2007,arroio trinta,SC,4201604,259,153
2007,artur nogueira,SP,3503802,2895,1560
2007,aruanã,GO,5202502,689,269
2007,arujá,SP,3503901,6261,3743
2007,arvoredo,SC,4201653,280,90
2007,arvorezinha,RS,4301404,519,460
2007,ascurra,SC,4201703,610,296
2007,aspásia,SP,3503950,135,61
2007,assaí,PR,4101903,1291,772
2007,assaré,CE,2301604,2142,929
2007,assis,SP,3504008,5341,3917
2007,assis brasil,AC,1200054,453,184
2007,assis chateaubriand,PR,4102000,2646,1708
